"","year","state","rep","dem","other"
"399",1992,"kentucky",617178,665104,210618
"400",1992,"louisiana",733386,815971,240660
"401",1992,"maine",206504,263420,209575
"402",1992,"maryland",707094,988571,289381
"403",1992,"massachusetts",805049,1318662,649863
"404",1992,"michigan",1554940,1871182,848551
"405",1992,"minnesota",747841,1020997,579110
"406",1992,"mississippi",487793,400258,93742
"407",1992,"missouri",811159,1053873,526280
"408",1992,"montana",144207,154507,111869
"409",1992,"nebraska",344346,217344,177593
"410",1992,"nevada",175828,189148,141342
"411",1992,"new hampshire",202484,209040,125691
"412",1992,"new jersey",1356865,1436206,550523
"413",1992,"new mexico",212824,261617,95545
"414",1992,"new york",2346649,3444450,1135826
"415",1992,"north carolina",1134661,1114042,363147
"416",1992,"north dakota",136244,99168,72721
"417",1992,"ohio",1894310,1984942,1060712
"418",1992,"oklahoma",592929,473066,324364
"419",1992,"oregon",475757,621314,365572
"420",1992,"pennsylvania",1791841,2239164,928805
"421",1992,"rhode island",131601,213299,108465
"422",1992,"south carolina",577507,479514,145506
"423",1992,"south dakota",136718,124888,74648
"424",1992,"tennessee",841300,933521,207817
"425",1992,"texas",2496071,2281815,1376132
"426",1992,"utah",322632,183429,237937
"427",1992,"vermont",88122,133592,67987
"428",1992,"virginia",1150517,1038650,369498
"429",1992,"washington",731234,993037,563294
"430",1992,"west virginia",241974,331001,110702
"431",1992,"wisconsin",930855,1041066,559193
"432",1992,"wyoming",79347,68160,52377
"433",1996,"alabama",769044,662165,103140
"434",1996,"arizona",622073,653288,129044
"435",1996,"arkansas",325416,475171,83675
"436",1996,"california",3828380,5119835,1071269
"437",1996,"colorado",691848,671152,147704
"438",1996,"connecticut",483109,735740,173760
"439",1996,"delaware",99062,140355,31393
"440",1996,"florida",2244536,2546870,512388
"441",1996,"georgia",1080843,1053849,164207
"442",1996,"idaho",256595,165443,69673
"443",1996,"illinois",1587021,2341744,382626
"444",1996,"indiana",1006693,887424,241725
"445",1996,"iowa",492644,620258,121173
"446",1996,"kansas",583245,387659,103396
"447",1996,"kentucky",623283,636614,128811
"448",1996,"louisiana",712586,927837,143536
"449",1996,"maine",186378,312788,106731
"450",1996,"maryland",681530,966207,133133
"451",1996,"massachusetts",718107,1571763,266915
"452",1996,"michigan",1481212,1989653,377979
"453",1996,"minnesota",766476,1120438,305726
"454",1996,"mississippi",439838,394022,59997
"455",1996,"missouri",890016,1025935,242114
"456",1996,"montana",179652,167922,59509
"457",1996,"nebraska",363467,236761,77187
"458",1996,"nevada",199244,203974,61061
"459",1996,"new hampshire",196532,246214,56429
"460",1996,"new jersey",1103078,1652329,320400
"461",1996,"new mexico",232751,273495,49828
"462",1996,"new york",1933492,3756177,626460
"463",1996,"north carolina",1225938,1107849,182020
"464",1996,"north dakota",125050,106905,34456
"465",1996,"ohio",1859883,2148222,526329
"466",1996,"oklahoma",582315,488105,136293
"467",1996,"oregon",538152,649641,189967
"468",1996,"pennsylvania",1801169,2215819,484319
"469",1996,"rhode island",104683,233050,52514
"470",1996,"south carolina",573458,504051,71948
"471",1996,"south dakota",150543,139333,33950
"472",1996,"tennessee",863530,909146,121429
"473",1996,"texas",2736167,2459683,415794
"474",1996,"utah",361911,221633,82085
"475",1996,"vermont",80352,137894,40203
"476",1996,"virginia",1138350,1091060,187232
"477",1996,"washington",840712,1123323,290525
"478",1996,"west virginia",233946,327812,74701
"479",1996,"wisconsin",845029,1071971,279169
"480",1996,"wyoming",105388,77934,28249
"481",2000,"alabama",944409,695602,32540
"482",2000,"arizona",781652,685341,67120
"483",2000,"arkansas",472940,422768,26073
"484",2000,"california",4567429,5861203,537224
"485",2000,"colorado",883745,738227,119393
"486",2000,"connecticut",561094,816015,82416
"487",2000,"delaware",137288,180068,10245
"488",2000,"florida",2912790,2912253,138067
"489",2000,"georgia",1419720,1116230,60854
"490",2000,"idaho",336937,138637,26047
"491",2000,"illinois",2019421,2589026,133676
"492",2000,"indiana",1245836,901980,51489
"493",2000,"iowa",634373,638517,42673
"494",2000,"kansas",622332,399276,50608
"495",2000,"kentucky",872492,638898,32797
"496",2000,"louisiana",927871,792344,45441
"497",2000,"maine",286616,319951,45250
"498",2000,"maryland",813797,1145782,65901
"499",2000,"massachusetts",878502,1616487,207995
"500",2000,"michigan",1953139,2170418,109154
"501",2000,"minnesota",1109659,1168266,160760
"502",2000,"mississippi",573230,404964,16732
"503",2000,"missouri",1189924,1111138,58830
"504",2000,"montana",240178,137126,33682
"505",2000,"nebraska",433862,231780,31377
"506",2000,"nevada",301575,279978,27417
"507",2000,"new hampshire",273559,266348,29174
"508",2000,"new jersey",1284173,1788850,114203
"509",2000,"new mexico",286417,286783,25405
"510",2000,"new york",2403374,4107907,311387
"511",2000,"north carolina",1631163,1257692,22407
"512",2000,"north dakota",174852,95284,18131
"513",2000,"ohio",2351209,2186190,168058
"514",2000,"oklahoma",744337,474276,15616
"515",2000,"oregon",713577,720342,100049
"516",2000,"pennsylvania",2281127,2485967,145933
"517",2000,"rhode island",130555,249508,29049
"518",2000,"south carolina",786426,566039,31312
"519",2000,"south dakota",190700,118804,6765
"520",2000,"tennessee",1061949,981720,32512
"521",2000,"texas",3799639,2433746,174252
"522",2000,"utah",515096,203053,52605
