"","cname","litdiff","p_polity2","pei_eir","wbgi_gee","wdi_birth","wdi_empagrf","wdi_empagrm","wdi_empch","wdi_expedu","wdi_fertility","wdi_gdpcapcon2010","wdi_poprul"
"40","Comoros",11.6878128051758,9,5.3499999,-1.566743,32.3650016784668,56.6590003967285,47.015998840332,NA,2.5450599193573,4.27500009536743,1386.92236328125,71.2160034179688
"41","Congo",11.4577484130859,-4,1.5277778,-1.1984828,33.3779983520508,34.6689987182617,35.193000793457,NA,5.4650502204895,4.48199987411499,2520.61840820312,33.5410003662109
"42","Congo, Democratic Republic",22.0247116088867,-3,NA,-1.6352302,41.7319984436035,73.7419967651367,59.2639999389648,41.391429901123,1.45494997501373,6.01700019836426,408.9248046875,56.1199989318848
"43","Costa Rica",-0.122077941894531,10,9.479166,0.24859558,14.246000289917,4.52600002288818,17.3500003814697,1.30999994277954,7.31572008132935,1.77199995517731,9775.8505859375,21.4400005340576
"44","Croatia",NA,9,7.6388888,0.57130635,8.89999961853027,5.13100004196167,8.54199981689453,NA,3.91712999343872,1.41999995708466,15396.80078125,43.3330001831055
"45","Cuba",NA,-7,NA,-0.18184105,10.3859996795654,7.67899990081787,24.5270004272461,NA,NA,1.63699996471405,6666.33154296875,23.0230007171631
"46","Cyprus (1975-)",NA,10,8.3296032,0.91997778,10.6680002212524,1.07799994945526,3.76699995994568,NA,5.77719020843506,1.33700001239777,30650.244140625,33.1640014648438
"47","Czech Republic",-0.0725936889648438,9,8.5332747,1.0053248,10.8000001907349,1.78900003433227,3.60599994659424,NA,3.85402011871338,1.69000005722046,23144.408203125,26.3250007629394
"48","Benin",22.9053821563721,7,8.2321434,-0.64820498,36.6209983825684,31.8269996643066,47.9469985961914,NA,3.53558993339539,4.9060001373291,1166.76062011719,53.2319984436035
"49","Denmark",NA,10,9.7777777,1.7969428,10.6000003814697,1.00999999046326,3.28500008583069,NA,7.81608009338379,1.75,63216,12.2430000305176
"50","Dominica",NA,NA,NA,-0.25377202,12,NA,NA,NA,5.57345008850098,NA,6561.4072265625,29.8190002441406
"51","Dominican Republic",0.0294723510742188,7,5.6999998,-0.3700335,19.7989997863769,1.30299997329712,14.8219995498657,13.1965932846069,NA,2.36700010299683,7273.35400390625,19.7229995727539
"52","Ecuador",1.69236755371094,5,5.7692308,-0.32184374,19.9680004119873,24.7670001983643,29.7080001831055,5.56200504302979,4.99870014190674,2.45099997520447,5205.76318359375,36.3300018310547
"53","El Salvador",3.95774078369141,8,6.5952382,-0.36494723,18.4290008544922,3.96399998664856,29.1709995269775,NA,3.7252299785614,2.05900001525879,3441.31323242188,28.7250003814697
"54","Equatorial Guinea",NA,-6,1.9060606,-1.4381831,33.7249984741211,43.4679985046387,41.2680015563965,NA,NA,4.59899997711182,11225.3720703125,28.3540000915527
"55","Ethiopia (1993-)",14.8180770874024,-3,1.5882353,-0.69795704,32.7750015258789,59.5470008850098,74.0039978027344,NA,4.73791980743408,4.34999990463257,548.419494628906,79.6900024414062
"56","Eritrea",15.4270477294922,-7,NA,-1.7209692,30.8980007171631,67.5250015258789,58.5839996337891,NA,NA,4.11199998855591,NA,NA
"57","Estonia",NA,9,8.8888893,1.1093566,10.5,1.91999995708466,5.03900003433228,NA,4.97338008880615,1.5900000333786,19167.521484375,31.2830009460449
"58","Fiji",-0.00739288330078125,2,5.7389708,0.092309326,21.5599994659424,36.5690002441406,38.5999984741211,NA,NA,2.78800010681152,4650.3017578125,44.257999420166
"59","Finland",NA,10,9.8874998,1.9368565,9.10000038146973,2.15199995040894,5.25600004196167,NA,6.37621021270752,1.49000000953674,48213.3828125,14.6750001907349
"60","France (1963-)",NA,9,9.0263157,1.3520895,11.5,1.60099995136261,3.57100009918213,NA,5.45160007476807,1.89999997615814,43015.2109375,19.8199996948242
"61","Djibouti",NA,3,2.9000001,-1.0310354,21.9440002441406,32.8040008544922,36.0130004882812,NA,3.74855995178223,2.78500008583069,NA,22.3519992828369
"62","Gabon",2.42837524414062,3,2.6944444,-0.92525393,32.1609992980957,49.6040000915527,25.05299949646,NA,2.66667008399963,4.00799989700317,9212.3193359375,11.0240001678467
"63","Georgia",0.142776489257812,7,6.7055554,0.58195257,13.7180004119873,45.6479988098145,41.0229988098145,NA,3.57442998886108,2.06200003623962,4512.76123046875,41.7690010070801
"64","Gambia",20.1902313232422,4,7.3333335,-0.64650178,38.9669990539551,34.7369995117188,23.8929996490479,23.75,2.42030000686646,5.2810001373291,760.124694824219,39.4010009765625
"65","Germany",NA,10,9.4542122,1.7192912,9.5,0.882000029087067,1.62100005149841,NA,4.90511989593506,1.57000005245209,46862.04296875,22.7390003204346
"66","Ghana",9.05019378662109,8,8.3999996,-0.10918708,29.8390007019043,24.7189998626709,38.2799987792969,NA,3.61798000335693,3.92600011825561,1739.46752929688,44.5929985046387
"67","Kiribati",NA,NA,NA,-0.24598373,28.2940006256104,NA,NA,NA,NA,3.60999989509583,1763.22998046875,46.7379989624023
"68","Greece",1.11295318603516,10,8.6153851,0.31337345,8.19999980926514,11.4790000915527,12.5069999694824,NA,NA,1.35000002384186,23052.986328125,21.2759990692139
"69","Grenada",-0.0199966430664062,NA,7.1666665,-0.17545509,16.7010002136231,NA,NA,NA,3.17379999160767,2.08299994468689,8775.8984375,63.8359985351562
"70","Guatemala",10.385498046875,8,5.4444447,-0.64047855,24.9120006561279,10.1429996490478,42.2849998474121,7.24264049530029,2.951819896698,2.92000007629394,3286.7412109375,49.3199996948242
"71","Guinea",21.6778411865234,4,5.125,-1.0384904,36.7649993896484,64.8479995727539,60.8359985351562,NA,2.31765007972717,4.77699995040894,869.018981933594,64.2070007324219
"72","Guyana",1.27976989746094,7,7.1428571,-0.29101905,20.2019996643066,9.56099987030029,22.7719993591309,NA,6.23007011413574,2.48499989509583,5604.56494140625,73.4619979858398
"73","Haiti",6.97712707519531,5,3.25,-2.0697525,24.75,13.6409997940063,42.681999206543,NA,2.68945002555847,2.98600006103516,1277.37438964844,45.6539993286133
"74","Honduras",-0.127914428710938,7,3.3714285,-0.50808096,21.8589992523193,9.21300029754639,44.2980003356934,10.5018701553345,6.06746006011963,2.49600005149841,2176.29516601562,43.5429992675781
"75","Hungary",0.0600051879882812,10,5.2088814,0.52213418,9.69999980926514,2.83999991416931,6.85799980163574,NA,4.66709995269775,1.53999996185303,15912.0146484375,28.9379997253418
"76","Iceland",NA,NA,9.4446392,1.4505436,11.8999996185303,1.95899999141693,5.36600017547607,NA,7.65821981430054,1.71000003814697,51045.94140625,6.22700023651123
"77","India",16.5758972167969,9,7.25,0.089892484,18.0830001831055,56.439998626709,40.890998840332,NA,NA,2.24300003051758,1986.63293457031,66.4000015258789
"78","Indonesia",3.33915710449219,9,7.0059524,0.040851168,18.4220008850098,28.82200050354,32.0429992675781,NA,3.58360004425049,2.33599996566773,4120.52197265625,45.3409996032715
"79","Iran",9.56497192382812,-7,5.5178571,-0.19744448,19.0109996795654,21.3320007324219,16.757999420166,NA,3.79040002822876,2.1159999370575,6948.705078125,25.6060009002686
"80","Iraq",11.2999954223633,6,4,-1.2632843,29.693000793457,18.2110004425049,18.628999710083,NA,NA,3.76200008392334,5635.6591796875,29.7220001220703
"81","Ireland",NA,10,8.7921143,1.2909769,12.8999996185303,1.55599999427795,8.00800037384033,NA,3.50686001777649,1.76999998092651,71755.96875,37.0530014038086
"82","Israel",NA,6,8.8357143,1.3856862,21.1000003814697,0.535000026226044,1.38900005817413,NA,6.09261989593506,3.10999989509583,34243.01171875,7.66400003433228
"83","Italy",0.38153076171875,10,8.291666,0.50212741,7.59999990463257,2.35400009155273,4.81799983978271,NA,4.04493999481201,1.32000005245209,35086.4765625,29.8560009002686
"84","Cote d'Ivoire",13.1575698852539,4,7.1079545,-0.7580353,35.9930000305176,32.601001739502,48.3819999694824,NA,3.80347990989685,4.7039999961853,1600.76525878906,49.673999786377
"85","Jamaica",-9.25999450683594,9,8.272727,0.48505181,16.2859992980957,9.1870002746582,22.761999130249,NA,5.2606201171875,1.99300003051758,4785.6533203125,44.6220016479492
"86","Japan",NA,10,8.3003206,1.6171358,7.59999990463257,2.99300003051758,3.78699994087219,NA,3.18217992782593,1.42999994754791,48510.609375,8.46500015258789
"87","Kazakhstan",0.0906906127929688,-6,3.9375,0.0061336765,21.6399993896484,15.4340000152588,18.1830005645752,NA,2.75081992149353,2.73000001907349,10867.73828125,42.6640014648438
"88","Jordan",0.782135009765625,-3,6.375,0.10907641,22.6219997406006,1.00499999523163,3.6159999370575,1.23000001907349,3.28404998779297,2.84899997711182,3305.66821289062,9.25300025939941
"89","Kenya",6.79990386962891,9,3.9539683,-0.31992179,29.2959995269775,62.1640014648438,49.9620018005371,NA,5.36668014526367,3.57200002670288,1156.42529296875,73.4380035400391
"90","Korea, North",NA,-10,NA,-1.6717273,13.9099998474121,60.2280006408691,43.5089988708496,NA,NA,1.91100001335144,NA,38.3219985961914
"91","Korea, South",NA,8,8.5749998,1.0727642,7,4.46999979019165,5.01100015640259,NA,4.33309984207153,1.05200004577637,27492.576171875,18.4969997406006
"92","Kuwait",1.87137603759766,-7,5.979167,-0.17656831,14.6510000228882,0.0329999998211861,2.83200001716614,NA,NA,2.08299994468689,33359.4296875,0
"93","Kyrgyzstan",0.177291870117188,8,6.8214283,-0.71100795,24.7999992370606,22.246000289917,23.5139999389648,41.0805549621582,6.02618980407715,3,1072.49365234375,63.8650016784668
"94","Laos",10.5702438354492,-7,2.5,-0.38321972,23.9549999237061,66.0879974365234,62.306999206543,NA,2.93780994415283,2.70900011062622,1706.79321289062,65.6320037841797
"95","Lebanon",3.54965209960938,6,5.3636365,-0.51159191,17.6700000762939,15.0139999389648,13.6960000991821,NA,NA,2.09699988365173,6370.88916015625,11.5710000991821
"96","Lesotho",-17.1874237060547,8,7.2750001,-0.85521531,27.1700000762939,3.16300010681152,13.4700002670288,NA,7.96331977844238,3.1710000038147,1391.9365234375,72.2699966430664
