"","votereg","age","female","nohighschool","collegeorhigher","nonwhite","married","employed","republican","democrat","independent","partisanship","impeach"
"16390",1,62,0,0,0,0,0,1,0,0,1,"Independent",0
"16391",1,50,0,0,0,0,1,0,0,0,1,"Independent",1
"16392",1,26,0,0,1,1,0,1,0,0,1,"Independent",1
"16393",1,55,1,0,1,1,1,1,1,0,0,"Republican",0
"16394",1,35,1,0,0,0,0,1,0,0,1,"Independent",0
"16395",1,28,0,0,1,0,1,1,0,1,0,"Democrat",1
"16396",1,54,0,0,1,1,1,1,0,0,1,"Independent",0
"16398",1,62,1,0,0,0,0,1,1,0,0,"Republican",0
"16399",0,29,1,0,1,1,1,1,0,1,0,"Democrat",1
"16400",1,72,0,0,0,0,0,0,0,0,1,"Independent",1
"16401",1,30,0,0,1,0,1,1,0,1,0,"Democrat",1
"16402",1,66,0,0,0,0,1,1,1,0,0,"Republican",0
"16403",1,61,1,0,1,1,1,1,1,0,0,"Republican",0
"16404",1,29,0,0,1,0,1,1,1,0,0,"Republican",0
"16405",0,53,1,0,0,0,1,1,0,0,1,"Independent",0
"16406",1,63,1,0,1,1,1,0,1,0,0,"Republican",0
"16407",1,30,1,0,1,0,1,1,0,1,0,"Democrat",1
"16408",1,72,0,1,0,1,1,0,0,0,1,"Independent",1
"16409",1,56,0,0,1,1,0,1,0,1,0,"Democrat",1
"16410",1,25,1,0,1,0,1,0,0,0,1,"Independent",1
"16411",1,64,0,0,0,0,1,1,1,0,0,"Republican",0
"16413",0,54,1,0,0,0,1,1,0,1,0,"Democrat",0
"16414",1,66,1,0,1,1,0,0,0,0,1,"Independent",1
"16415",1,70,0,0,0,0,0,0,1,0,0,"Republican",0
"16416",1,63,0,0,0,0,0,0,0,1,0,"Democrat",0
"16418",1,51,1,0,0,0,1,0,1,0,0,"Republican",0
"16419",1,50,1,0,0,0,1,1,1,0,0,"Republican",0
"16420",1,64,0,0,1,1,1,0,0,0,1,"Independent",0
"16421",1,56,0,1,0,0,1,1,0,0,1,"Independent",0
"16422",0,35,1,0,1,0,1,1,0,1,0,"Democrat",1
"16423",1,68,0,0,0,0,1,1,1,0,0,"Republican",0
"16424",1,54,0,0,1,1,1,0,0,1,0,"Democrat",1
"16426",1,27,0,0,1,1,1,1,0,0,1,"Independent",1
"16428",1,77,0,0,1,1,1,0,1,0,0,"Republican",0
"16430",1,89,0,0,1,1,1,0,0,0,1,"Independent",0
"16431",0,65,1,0,1,1,0,0,0,0,1,"Independent",0
"16432",1,23,1,0,1,1,0,1,0,1,0,"Democrat",1
"16433",1,82,1,0,0,0,1,0,1,0,0,"Republican",0
"16434",0,63,1,0,0,0,1,0,0,0,1,"Independent",0
"16435",0,48,1,0,1,1,0,1,0,1,0,"Democrat",1
"16437",1,84,0,1,0,0,1,0,0,1,0,"Democrat",1
"16438",1,22,1,0,1,0,0,1,0,1,0,"Democrat",1
"16439",1,63,1,1,0,0,1,0,0,1,0,"Democrat",1
"16440",1,25,1,0,1,0,0,0,0,1,0,"Democrat",1
"16441",1,66,0,0,0,0,0,0,0,0,1,"Independent",1
"16442",1,62,1,0,0,0,0,1,1,0,0,"Republican",0
"16443",1,54,0,0,0,0,1,1,1,0,0,"Republican",0
"16444",1,29,0,0,1,0,0,1,0,0,1,"Independent",1
"16445",1,72,1,0,1,1,0,1,0,0,1,"Independent",0
"16446",1,75,0,0,0,0,1,0,0,0,1,"Independent",0
"16447",1,75,0,0,0,0,1,0,1,0,0,"Republican",1
"16449",1,71,0,0,0,0,1,1,1,0,0,"Republican",0
"16450",0,48,1,0,0,0,1,0,0,1,0,"Democrat",1
"16451",1,76,1,0,0,0,0,0,0,0,1,"Independent",0
"16452",1,38,1,0,0,0,0,1,0,1,0,"Democrat",1
"16453",1,76,0,0,0,0,0,0,0,1,0,"Democrat",1
"16454",1,50,1,0,0,1,0,1,0,1,0,"Democrat",1
"16455",1,28,1,0,1,1,0,0,0,1,0,"Democrat",0
"16456",1,28,0,0,1,0,0,1,0,0,1,"Independent",0
"16457",0,49,1,1,0,0,0,1,1,0,0,"Republican",0
"16458",1,29,1,0,1,0,0,1,0,1,0,"Democrat",1
"16459",1,56,0,0,0,0,1,1,1,0,0,"Republican",0
"16460",1,74,1,0,0,0,1,0,1,0,0,"Republican",0
"16461",0,47,1,0,0,0,1,0,0,1,0,"Democrat",0
"16462",1,28,0,0,1,0,1,1,1,0,0,"Republican",1
"16463",1,30,1,0,1,1,0,1,0,1,0,"Democrat",0
"16464",0,56,1,0,0,0,0,1,0,0,1,"Independent",0
"16465",1,78,0,0,0,0,0,0,0,1,0,"Democrat",1
"16466",1,26,1,0,1,0,0,1,0,0,1,"Independent",0
"16467",1,29,0,0,1,0,1,1,0,0,1,"Independent",0
"16468",1,28,0,0,1,0,1,1,1,0,0,"Republican",0
"16469",1,61,0,0,1,1,1,1,1,0,0,"Republican",0
"16470",1,59,1,0,1,1,1,0,1,0,0,"Republican",0
"16471",1,61,0,0,0,0,1,0,1,0,0,"Republican",0
"16473",1,70,1,0,1,1,0,0,1,0,0,"Republican",1
"16474",1,57,0,0,1,1,1,1,1,0,0,"Republican",0
"16476",0,29,1,0,1,1,1,0,0,0,1,"Independent",0
"16477",1,33,1,0,0,0,0,1,0,0,1,"Independent",1
"16478",1,29,1,0,1,1,0,0,0,1,0,"Democrat",1
